Pitch,Summary
James__Jewett-Cameron__SIR.pdf,"Jewett Cameron (JCTCF)
James Ho
Joanne Low
Joanne Cheng
Eric Hollenberg

Thesis Summary:
- Overlooked lawn segment experiencing consistent growth
- Net asset value accounts for nearly 50% of the company's value
- Shareholder-friendly management with significant ownership
- Conservative valuation of the lawn business and company assets gives room for a 10-50% premium from the current price

Current Price: $9.69
Target Price: $12.50
Return: 29%

Financial Snapshot:
- Price: $9.69
- Equity: $27.5 million
- EV: $23.1 million
- EV/EBITDA: 5.75

Business Model:
- Wood Products (25% of sales)
- Metal Products (75% of sales)
- Lawn and garden component growing rapidly

Product Reviews:
- Items listed on Amazon, Wayfair, etc.
- Favorable reviews for their products

Business Segments:
- Proprietary Steel Products
- Wood Products
- Steel-based seasonal consumer products
- Distribution to customers through agriculture retail marketplaces, etc.

Subsidiaries:
- Company distribution center in North Plains, Oregon
- Shipped direct to customers
- Customers include home centers, big box home centers, and other retailers

Revenue Mix:
- Historically been seasonal, with the first two quarters of the fiscal year being slower than the final two quarters

Competitors:
- Overlooked lawn segment experiencing consistent growth
- Net asset value accounts for nearly 50% of the company's value
- Shareholder-friendly management with significant ownership

Management:
- CEO paid himself a $36,000 salary last year
- Zero bonus in all but one year
- Company insiders own 40% of the company
- Increase in overall market competition in the industry
- Selling expenses have increased in efforts to obtain new business

Risks:
- Involvement in a lawsuit with potential exposure of $1.8 million
- Inventory valued at 70%
- Appreciation in real estate not captured
- All other segments worth zero
- Revenue stays flat after one-time decline
- Margin depression is permanent

Mispricing:
- Microcap that operates in a niche unsexy business
- Lawn segment overshadowed by other declining segments for years
- Selloff after margin compressions and one-time revenue declines

Valuation:
- Conservative valuation of lawn business and company assets gives room for a 10-50% premium from the current price

Questions?"
Kevin__CTO__SIR.pdf,"Consolidated-Tomoka Land (CTO) is a real estate operator founded over 100 years ago. The company holds Florida land at historical low prices on its books. The thesis is to sell the land using a like-kind exchange rule to defer income taxes on capital gains and reinvest 100% of the net sales into income-producing properties. This tax-free monetization of undervalued hard assets by talented management offers an asymmetric risk-reward with near-term catalysts.

The company's assets include income properties and a land portfolio with parcels located in different areas around Florida. The financial overview includes capitalization details, shares outstanding, market cap, net income, EBITDA, and other key financial metrics. The income statement shows revenue, cost of revenue, gross profit, EBIT, EBITDA, net income, and margins for the years 2011-2013.

The key assets of CTO include a close analysis of its land and income properties, management diligence, valuation, risks, and mitigants, and catalysts for growth. The company's management team is shareholder-friendly, experienced in real estate, and committed to unlocking value for shareholders. The valuation analysis includes net asset valuation scenarios based on income properties, raw land prices, and other assets.

The mispricing of CTO is attributed to its complicated segmental structure with hidden assets, a lack of natural buyers, and investor impatience. Risks related to rising interest rates, management execution, and discount rate are identified along with mitigants. Catalysts for growth include smart management, a long-term activist stake, and potential REIT conversion.

The appendix provides consolidated financials, an explanation of like-kind exchange and deferred taxes in REIT conversion, improving income-property portfolio, commercial loan portfolio, golf operations, and subsurface interests in oil exploration. Imminent catalysts include developments with Minto Communities and potential rezoning and development plans."
Trent__USAK__SIR.pdf,"Recommendation: Buy

USA Truck (NASDAQ: USAK) is a company specializing in medium to long haul freight and is the 29th largest trucking company in the nation. The company operates in two business segments: Trucking and Logistics/Strategic Capacity Solutions (SCS). The trucking segment struggled from 2005-2013, but the SCS segment has performed well, although its growth has been overshadowed by the trucking segment.

The company has historically had poor management, making questionable decisions in buying and selling assets. However, since 2013, the company has made strides in improving its operations. The trucking business operates as a freight brokerage, providing cost-effective transportation solutions to clients. The SCS business has shown promise in cutting costs and improving efficiency, with potential for growth.

USA Truck's turnaround progress includes initiatives to reduce costs, improve fuel efficiency, and increase profitability. Activist hedge funds have shown interest in the company, indicating potential for shareholder value creation. The company's valuation is considered undervalued due to past mismanagement, but there is potential for growth if the turnaround continues successfully.

Overall, USA Truck presents a buying opportunity for investors, with potential catalysts for value creation and a clear path to success in its operations."
Chodan__WDC__SIR.pdf,"Stock: Western Digital Corporation (NASDAQ: WDC)
Current Price: $64.15 (10/3/13 Closing)
Target Price: $86.58
Recommendation: Buy

Thesis:
We believe that WDC is undervalued due to the misconception that its success is solely tied to the declining PC market. However, WDC has been adapting to changing demands and is set to see growth in non-PC hard drive markets. With excess factory capacity, WDC can maintain or increase margins as demand grows.

Company Background:
WDC is a leading developer and manufacturer of storage solutions under HGST, WD, and G-Technology brands. They hold a 45% market share in Hard Drive Shipments and operate in 4 segments: Client, Enterprise and Cloud, Branded Products, and Consumer Electronics.

Industry / Key Developments:
The storage industry is cyclical, with hard drives being the primary storage medium. While revenue from PC HDDs is projected to decline, growth is expected in the enterprise HDD market as cloud-based storage becomes more prevalent.

Explanation of Thesis:
WDC's value lies in its ability to adapt to changing markets and shift focus to lucrative segments. The company's acquisitions and developments in enterprise storage, such as helium-filled hard drives, are expected to drive growth and increase margins.

Valuation:
Key statistics for WDC include a Market Cap of $15.09B, P/E ratio of 16, and ROIC of 40%. Valuation assumptions are based on projected industry unit shipments and market shares.

Key Risks:
Challenges for WDC include a highly competitive industry, concentrated customer base, and risks associated with acquisitions not yielding expected returns.

Potential Catalysts:
Catalysts for WDC include a shift to the enterprise market, technological advancements like helium-filled drives, and potential favorable rulings that could increase efficiency and drive share prices up.

Thesis Summary:
WDC is well-positioned to capitalize on the growing demand for storage solutions in non-PC markets. As the company focuses more on enterprise storage and innovative technologies, its value is likely to be recognized by investors, leading to potential growth in margins and share prices."
Connor__INFU__SIR.pdf,"InfuSystem (INFU) is a company that provides infusion pumps and related services to oncology clinics in the U.S. and Canada. They have also seen growth in revenue in recent years, but were hindered by incompetent management. Activist investors, including Ryan Morris of Meson Capital Partners, have worked to improve the company's performance.

The company has been making significant changes, such as cutting costs by eliminating irregular board compensation and improving the efficiency of their subsidiary, First Biomed. They have also seen improvements in profitability and cost reduction, leading to their first quarterly profit since 2010.

In terms of valuation, INFU has historically averaged between 6-8X EBITDA multiple over the last three years. The market is currently implying a $10 million EBITDA run-rate, which may be undervalued considering recent improvements and potential for more cost-cutting.

There are risks involved, such as potential Medicare reimbursement cuts and the impact of the generic drug Xeloda on INFU's market share. However, the company is in a unique niche and is the low-cost provider, making it less likely to be significantly affected by these risks.

Overall, INFU presents an exciting special situation opportunity for investors to follow the lead of successful activist investors. The company has a strong business model with high margins and network effects, and recent improvements suggest that it may be significantly undervalued in the market."
Connor__NobleRomans__SIR.pdf,"Summary:
Noble Roman's, a pizza business headquartered in Indiana, began as a small pizza operator in 1972. Over the years, they transitioned into a franchising and supply chain pizza business model. In 2008, the company faced a lawsuit from former franchisees accusing them of fraud, which resulted in legal battles. Currently, the company operates traditional franchises, non-traditional locations, and take-and-bake outlets. The stock is currently trading at $0.73 with a market cap of $14.5M. A conservative discounted cash flow analysis suggests a potential upside of 46% with a target price of $1.13. Major catalysts for potential growth include expected legal payments of $5M, expansion in the take-and-bake market, and improvements in capital structure. However, potential risks include legal liabilities, management missteps, and overly aggressive growth estimates for grocery stores. 

In conclusion, investing in Noble Roman's at the current price may present an opportunity to buy a good business at a great price, with potential for significant upside if catalysts for growth materialize."
NA___ORIG__SIR.pdf,"Ocean Rig (ORIG) is recommended as a buy with a price target of $24, while the current price per share (PPS) is $16. The market cap is $2.16 billion with an enterprise value (EV) of $4.77 billion.

Thesis Summary:
Ocean Rig is seen as an undervalued stock in a misunderstood industry due to factors such as underappreciated earnings power, lack of trust in management, and a dominant forced seller (parent company). The stock is expected to be rerated to trade in line with industry peers as profitability becomes evident and management returns cash to shareholders.

Industry Overview:
Ultra-Deepwater (UDW) drilling operates at ocean depths of 5000+ feet with two types of rigs: Semi-Submersible Platforms and Drillships. The market currently consists of 50 semi-submersibles and 62 drillships, with 80 more ships on the way.

How it works:
Companies like Ocean Rig buy drillships and charter them to oil companies with compensation measured in ""day rates"" directly tied to a company's revenue.

Current Market Conditions:
The market is favorable for rig owners with high day rates, insufficient supply to meet demand, long-term contracts, and cheaper drillships.

Long Term Prospects:
Day rates move with oil prices but are not a one-to-one relationship. Building drillships is attractive with potential for significant profit.

Comps Analysis:
Ocean Rig appears undervalued on an asset basis but overvalued on an EBITDA basis for TTM. It has a substantial operating advantage relative to peers.

Management Risk:
Concerns regarding George Economou's reputation and actions are present, but management risk may be overblown.

Investment Thesis:
Solidly undervalued company in a strong industry with management risk potentially overblown. The institution of a dividend or MLP setup is a strong catalyst for rerating shares. A target price of $24 is projected, reflecting a 50% upside.

Overall, Ocean Rig is positioned well within the industry, despite some risks related to management, and offers significant upside potential for investors."
NA__AUXO__SIR.pdf,"Ticker: AUXO
Recommendation: Buy
Current Price: $1.00
Target Price: $1.50

AUXO is a company with negative tangible book value, declining margins, a $20 million market cap, 0 years of profitability, a working capital shortage, and a history of dilutive financing. Its net income has been consistently negative over the years. The market sees AUXO as having no profitability, a risky business model, pathetic gross margins, and no downside protection.

Auxilio is a provider of vendor-neutral, managed print services to hospitals. It signs hospitals on long-term contracts with guaranteed cost savings and targets 20-25% gross margins after a year. The pros of its business model include being sticky, specialized, differentiated, and offering a cost advantage. However, cons include difficulties in convincing hospitals to switch providers and high set-up costs.

AUXO has experienced massive growth since 2010, with substantial sales momentum and an increase in the number of hospitals served. The company's business model features flat/negative gross margins initially, which improve over time. Valuing AUXO is challenging due to the lumpy nature of new contracts and significant one-time costs affecting operating results.

In a no-growth scenario for 2014, AUXO's implied valuation is $19.42 million. This does not include substantial NOLs and potential profits from 2013. In a base case for 2017, the company's net income is projected to reach $5.6 million. A bull case suggests significant growth potential with the opportunity to generate $20 million in EBITDA per year.

Risks for AUXO include declining print volumes, loss of customers to competitors, and the inability to hit savings targets. Catalysts for the company include recent contract wins with major Catholic hospital chains, profitability expected in 2013, and potential uplisting. Continued execution may prolong the mispricing of AUXO."
NA__CWGL__SIR.pdf,"Summary of Crimson Wine Group (CWGL):

- Stock Price: $9.65
- Market Cap: $234M
- Founded in 1991, CWGL operates boutique wineries in California, Oregon, and Washington.
- Owns 1,166 acres of vineyard and 7 brands.
- Business strategy focuses on online direct sales and wine clubs.
- Moving towards targeting low price wine markets.
- CWGL has strong brand recognition and quality vineyards.
- Competes in a competitive industry with <1% market share.
- Spinoff from Leucadia (LUK) to focus on winery business.
- Insider ownership by Leucadia management and other investors.
- Owns several vineyards with estimated value between $192.2M to $265M.
- Compared to peers, CWGL has potential upside in stock price.
- Estimated target price for 2013 at $12.50-$15.00."
NA__STRP__SIR.pdf,"Summary:
Straight Path Communications Inc. (STRP) is a microcap spinoff from IDT Corporation with a market cap of $61 million and an enterprise value of $46 million. The current price is $5.38 with a target price of $9.58. The company owns a significant portion of the nation's wireless spectrum in the 39 GHz frequency and a collection of patents related to communications over the Internet.

The patents held by STRP have provided substantial downside protection for the stock through licensing and litigation efforts. The company has successfully settled patent infringement cases with various companies and has partnered with top law firms for litigation. The patents are estimated to be valued between $12.7 million to $88.7 million, which is more than the entire enterprise value of the company.

In terms of spectrum technology, STRP's spectrum assets are positioned to benefit from the growth of small cells in mobile communication. The company holds licenses for the 39 GHz frequency, making it attractive for wireless backhaul solutions. The potential revenue from small cell deployment could range from $8.4 million to $46 million in 2016, leading to high-margin profits for STRP.

Overall, the sum-of-the-parts valuation for STRP suggests a total value between $52.7 million to $599 million, with a fair value per share of $9.58 representing a 79.1% upside from the current price. The risks associated with the investment include uncertainties in patent validity, small cell deployment, and potential misuse of minority shareholder interests. However, the strong risk/reward profile and the backing of reputable entities like Kirkland & Ellis and Howard Jonas make STRP an attractive investment opportunity."
